CSV Dump from EGI accounting portal for the period 8/2014 to 8/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
Italy,IT-INFN-T2,,,INFN-FRASCATI,0.0000,14596499.9164,0,179597.5434,14776097.4598
Italy,IT-INFN-T2,,,INFN-LNL-2,9625860.0000,0,6904948.0000,50860.0000,16581668
Italy,IT-INFN-T2,,,INFN-MILANO-ATLASC,0,9885.4859,0,1.6750,9887.1609
Italy,IT-INFN-T2,,,INFN-NAPOLI-ATLAS,0,16178063.1015,0,51903.0312,16229966.1327
Italy,IT-INFN-T2,,,INFN-PISA,0,0,7649906.5141,157756.7058,7807663.2199
Italy,IT-INFN-T2,,,INFN-ROMA1,0,6836084.6440,0,0,6836084.644
Italy,IT-INFN-T2,,,INFN-ROMA1-CMS,0,0,4631730.7209,0,4631730.7209
Italy,IT-INFN-T2,,,INFN-TORINO,2153913.4622,0,0,126.4446,2154039.9068
,,525200,273524160,Total,17750258.438,37620533.1478,20530328.813,1493779.8714,77394900.2702,28.295453048901
,,,,WallClock,2328050.7142,4787618.4013,3497586.0837,159520.1986,10772775.3978
Japan,JP-Tokyo-ATLAS-T2,,,TOKYO-LCG2,0,46655518.4626,0,0,46655518.4626
,,80000,41664000,Total,0,46655518.4626,0,0,46655518.4626,111.98041105655
,,,,WallClock,,2200074.8671,,,2200074.8671
Latin America,T2-LATINAMERICA,,,CBPF,0,0,0,571270.9848,571270.9848
Latin America,T2-LATINAMERICA,,,EELA-UTFSM,0,859445.8161,0,0,859445.8161
Latin America,T2-LATINAMERICA,,,ICN-UNAM,820454.9134,0,0,0,820454.9134
Latin America,T2-LATINAMERICA,,,SAMPA,3306610.9339,0,0,0,3306610.9339
Latin America,T2-LATINAMERICA,,,UERJ,0,0,12.0000,0,12
,,144768,75395174.4,Total,4127065.8473,859445.8161,12,571270.9848,5557794.6482,7.3715522146202
,,,,WallClock,754156.6389,77292.767,60,71670.0903,903179.4962
Malaysia,MY-T2-UM,,,T2-MY-UMSIFIR,0,0,0,0,0
,,,,Total,0,0,0,0,0
,,,,WallClock,,,,,
Mexico,T2_UNAM,,,SUPERCOMPUTO-UNAM,1585442.4722,0,0,0,1585442.4722
,,19600,10207680,Total,1585442.4722,0,0,0,1585442.4722,15.531859072777
,,,,WallClock,,,,,
Pakistan,PK-CIIT-ALICE,,,PK-CIIT,0,0,0,0,0
,,,,Total,0,0,0,0,0
,,,,WallClock,,,,,
Pakistan,PK-CMS-T2,,,NCP-LCG2,0,0,231549.2275,0,231549.2275
,,25460,13259568,Total,0,0,231549.2275,0,231549.2275,1.746280327534
,,,,WallClock,,,30085.9702,,30085.9702
Poland,PL-TIER2-WLCG,,,CYFRONET-LCG2,1520854.1039,3918092.9564,0.0000,1181101.0542,6620048.1145
Poland,PL-TIER2-WLCG,,,ICM,0,0,217985.4710,514021.4000,732006.871
Poland,PL-TIER2-WLCG,,,PSNC,2420634.3111,383449.1231,0.0000,439.2875,2804522.7217
,,76800,39997440,Total,3941488.415,4301542.0795,217985.471,1695561.7417,10156577.7072,25.393069424443
,,,,WallClock,605865.3517,437087.217,16422.267,125699.3612,1185074.1969
Portugal,PT-LIP-LCG-Tier2,,,NCG-INGRID-PT,0,1149443.5873,1779148.3745,0,2928591.9618
,,24000,12499200,Total,0,1149443.5873,1779148.3745,0,2928591.9618,23.430235229455
,,,,WallClock,,143305.4358,221755.7648,,365061.2006
Republic of Korea,KR-KNU-T2,,,LCG_KNU,0,0,1867592.8538,0,1867592.8538
,,27480,14311584,Total,0,0,1867592.8538,0,1867592.8538,13.04951886388
,,,,WallClock,,,257454.6594,,257454.6594
Romania,RO-LCG,,,NIHAM,0.0000,0,0,0,0
Romania,RO-LCG,,,RO-02-NIPNE,0,1120986.0073,0,0,1120986.0073
Romania,RO-LCG,,,RO-07-NIPNE,1194044.7981,2293631.2837,0,1133895.0133,4621571.0951
Romania,RO-LCG,,,RO-11-NIPNE,0,0,0,463303.3173,463303.3173
Romania,RO-LCG,,,RO-13-ISS,1826516.9984,0,0,0,1826516.9984
Romania,RO-LCG,,,RO-14-ITIM,0,121250.4750,0,0,121250.475
Romania,RO-LCG,,,RO-16-UAIC,0,983559.6948,0,0,983559.6948
,,152000,79161600,Total,3020561.7965,4519427.4608,0,1597198.3306,9137187.5879,11.542449354106
,,,,WallClock,435932.9281,685544.462,,255980.0484,1377457.4385
Russian Federation,RU-RDIG,,,ITEP,390494.2570,181333.1550,106850.6373,216779.3853,895457.4346
Russian Federation,RU-RDIG,,,JINR-LCG2,3341693.9889,3461385.2922,4462834.5955,844071.7855,12109985.6621
Russian Federation,RU-RDIG,,,RRC-KI,5521934.9822,2799121.4000,84333.1122,1485904.0068,9891293.5012
Russian Federation,RU-RDIG,,,ru-Moscow-FIAN-LCG2,0,418185.1422,7168.9578,0,425354.1
Russian Federation,RU-RDIG,,,ru-PNPI,652888.2181,416975.4450,61473.5970,322123.3019,1453460.562
Russian Federation,RU-RDIG,,,RU-Protvino-IHEP,14015736.0856,10896486.8020,5441425.6226,1996273.8355,32349922.3457
Russian Federation,RU-RDIG,,,RU-SPbSU,1585340.5368,0,0.0338,7061.5224,1592402.093
Russian Federation,RU-RDIG,,,Ru-Troitsk-INR-LCG2,90764.0000,0,570700.0000,29460.0000,690924
,,325612,169578729.6,Total,25598852.0686,18173487.2364,10734786.5562,4901673.8374,59408799.6986,35.03316709515
,,,,WallClock,3197564.177,1870506.6148,1359742.0134,472250.1774,6900062.9826
Slovakia,SK-Tier2-Federation,,,FMPhI-UNIBA,2190098.0533,2287328.4914,0,0,4477426.5447
Slovakia,SK-Tier2-Federation,,,IEPSAS-Kosice,2609951.0269,2794235.2464,0,0,5404186.2733
,,38400,19998720,Total,4800049.0802,5081563.7378,0,0,9881612.818,49.41122640849
,,,,WallClock,477493.1932,414355.9479,,,891849.1411
Slovenia,SI-SiGNET,,,SiGNET,0,6753940.1150,0,0,6753940.115
