Funding Agency;Storage Element;Computing Element  ML;Computing element WLCG
UA;Ukraine;;ICYB;Ukrainian Tier-2 Federation
UA;Ukraine;;ICYB_ARC;Ukrainian Tier-2 Federation
UA;Ukraine;ALICE::ISMA::SE;ISMA;Ukrainian Tier-2 Federation
UA;Ukraine;;KNU;Ukrainian Tier-2 Federation
UA;Ukraine;;KPI;Ukrainian Tier-2 Federation
UK;UnitedKingdom-STFC;ALICE::Birmingham::SE;Birmingham;SouthGrid
UK;UnitedKingdom-STFC;ALICE::RAL::SE;RAL_ARC;UK-T1-RAL
UK;UnitedKingdom-STFC;ALICE::RAL::TAPE;RAL;UK-T1-RAL
UK;UnitedKingdom-STFC;;Oxford;SouthGrid
UK;UnitedKingdom-STFC;;RAL-WMS;UK-T1-RAL
US;USA;ALICE::ORNL::EOS;ORNL;LBNL ALICE Berkeley CA
US;USA;;OSC;LBNL ALICE Berkeley CA
US;USA;USA;;LLNL;LBNL ALICE Berkeley CA
US;USA;;NERSC;LBNL ALICE Berkeley CA
US;USA;ALICE::LBL::EOS;LBL;LBNL ALICE Berkeley CA
US;USA;;TACC;LBNL ALICE Berkeley CA
US;USA;;ORNL_Titan;LBNL ALICE Berkeley CA
