Time,ALICE::BITP::SE,ALICE::Bari::SE,ALICE::Birmingham::SE,ALICE::Bratislava::SE,ALICE::CCIN2P3::SE,ALICE::CCIN2P3::TAPE,ALICE::CERN::CASTOR2,ALICE::CERN::DPM,ALICE::CERN::EOS,ALICE::CERN::OCDB,ALICE::CERN::T0ALICE,ALICE::CNAF::SE,ALICE::CNAF::TAPE,ALICE::Catania::SE,ALICE::Clermont::SE,ALICE::CyberSar_Cagliari::SE,ALICE::Cyfronet::XRD,ALICE::FZK::SE,ALICE::FZK::TAPE,ALICE::GRIF_IPNO::SE,ALICE::GRIF_IRFU::DPM,ALICE::GSI::SE2,ALICE::Grenoble::SE,ALICE::Hiroshima::EOS,ALICE::Hiroshima::SE,ALICE::IHEP::SE,ALICE::IPNL::SE,ALICE::ISMA::SE,ALICE::ISS::FILE,ALICE::ITEP::SE,ALICE::JINR::EOS,ALICE::JINR::SE,ALICE::KFKI::SE,ALICE::KISTI_GSDC::SE2,ALICE::KISTI_GSDC::TAPE,ALICE::Kolkata::EOS,ALICE::Kolkata::SE,ALICE::Kosice::SE,ALICE::LBL::EOS,ALICE::Legnaro::SE,ALICE::MEPHI::EOS,ALICE::NDGF::DCACHE,ALICE::NDGF::DCACHE_TAPE,ALICE::NIHAM::FILE,ALICE::ORNL::EOS,ALICE::PNPI::SE,ALICE::Poznan::SE,ALICE::Prague::SE,ALICE::RAL::SE,ALICE::RAL::TAPE,ALICE::RRC-KI::SE,ALICE::RRC_KI_T1::DCACHE_TAPE,ALICE::RRC_KI_T1::EOS,ALICE::SARA::DCACHE,ALICE::SARA::DCACHE_TAPE,ALICE::SNIC::DCACHE,ALICE::SPbSU::EOS,ALICE::SPbSU::SE,ALICE::SUT::SE,ALICE::SaoPaulo::SE,ALICE::Strasbourg_IRES::SE,ALICE::Subatech::EOS,ALICE::Torino::SE,ALICE::Trieste::SE,ALICE::Troitsk::SE,ALICE::Trujillo::SE,ALICE::Tsukuba::SE,ALICE::UNAM_T1::EOS,ALICE::ZA_CHPC::EOS,ALICE::ZA_CHPC::SE
1276977782,,,,,,,,,,,,,,,,,,190325.78500855138,94041.80232155716,,4444.991487203601,,,,,,,,,,,,,,,,,,,,,,18409.02702130953,,,1101.3048932262652,,,,,,,,,,,,,,,,,,,,,,,,
1279156925,,,,,,,,,,,,,,,,,,246700.62314374378,197971.171850021,8023.745936551597,11134.099679240358,,,,,,,,,,,,,,,,,,,,,,37716.86504310781,,,1702.4182247057292,,,,,,,,,,,,,,,,,,,,,,,,
1281336068,,,,,,,,,,,,,,,,,,329979.2207804908,344495.9852347445,19800.150176454033,18259.260040707206,,,,,,,,,,,,,,,,,,,,,,60039.20864649139,,,3608.363810221048,,,,,,,,,,,,,,,,,,,,,,,,
1283515211,,,,,,,,,,,,,,,,,,363009.7421341392,434158.25068527274,29954.3860589196,20782.579263675318,,,,,,,,,,,,,,,,,,,,,,66711.88799049695,,,5054.268290771537,,,,,,,,,,,,,,,,,,,,,,,,
1285694354,,,,,,,,,,,,,,,,,,373218.0648677214,491264.96403242915,37106.08762156438,22260.30701049023,,,,,,,,,,,,,,,,,,,,,,69109.13051407365,,,5856.76792170325,,,,,,,,,,,,,,,,,,,,,,,,
1287873497,,,,,,,,,,,,,,,,,,394310.9446409149,570122.2928260531,50712.46053926537,25979.08739106189,,,,,,,,,,,,,,,,,,,,,,74370.40626803401,,,7353.113453317232,,,,,,,,,,,,,,,,,,,,,,,,
1290052640,,,,,,,,,,,,,,,,,,424634.0309120398,755671.9653301041,68928.3803266536,31037.99093853886,,,,,,,,,,,,,,,,,,,,,,77234.98496719528,,,9327.730879319894,,,,53570.947261479116,,,,,,,,,,,,,,,,,,,,
1292231783,,,,,,,,,,,,,,,,,,443744.081512142,940688.4749501699,80079.13598174829,33803.134625353836,,,,,,,,,,,,,,,,,,,,,,77236.33721510733,,,10720.15132569299,,,,126309.46207012856,,,,,,,,,,,,,,,,,,,,
1294410926,,,,,,,,,,,,,,,,,,451001.7515290952,987150.9626340154,85199.53838295882,34827.218551497805,,,,,,,,,,,,,,,,,,,,,,77237.97948015959,,,11609.700430852896,,,,151503.93241118017,,,,,,,,,,,,,,,,,,,,
1296590069,,,,,,,,,,,,,,,,,,472227.2465100348,994105.598355318,97668.87541298175,37483.94982813581,,,,,,,,,,,,,,,,,,,,,,77240.39747708215,,,13148.286994633338,,,,151527.41345667146,,,,,,,,,,,,,,,,,,,,
1298769212,,,,,,,,,,,,,,,,,,507943.4007936482,1038787.9688664471,117607.6135444069,41374.37755565368,,,,,,,,,,,,,,,,,,,,,,77243.30710469247,,,15337.100697359416,,,,151531.2718223256,,,,,,,,,,,,,,,,,,,,
1300948355,,,,,,,,,,,,,,,,,,568552.9224507913,1140124.1386577194,128915.16579296184,43331.69641917237,452.3248568426702,,,,,,,,,,,,,,,,,,,,,77246.2004053756,,,16601.861683856107,,,,151537.68307530438,,,,,,,,,,,,,,,,,,,,
1303127498,,,,,,,,,,,,,,,,,,636980.8515915269,1406617.0362718804,130319.5243748159,43381.19075674335,458.72349041132975,,,,,,,,,,,,,,,,,,,,,77249.04818197878,,,16810.04220365052,,,,151545.7342849687,,,,,,,,,,,,,,,,,,,,
1305306641,,,,,,,,,,,,,,,,,,666982.5726969645,1655716.4427495939,131807.0834675711,43408.69549262784,461.2494946445762,,,,,,,,,,,,,,,,,,,,,77251.90913698787,,,16824.22330174312,,,,151551.0803883142,,,,,,,,,,,,,,,,,,,,
1307485784,,,,,,,,,,,,,,,,,,679323.9234964552,1728370.4493505193,137626.04357640617,43411.54335743372,463.77400351422784,,,,,,,,,,,,,,,,,,,,,77254.7926369344,,,16850.722450617995,,,,151554.20249013946,,,,,,,,,,,,,,,,,,,,
1309664927,,,,,,,,,,,,,,,,,,706424.843093488,1765457.5616440522,143444.15282972978,43414.42695423487,466.7749204616131,,,,,,,,,,,,,,,,,,,,,77257.68495445813,,,16891.464066858804,,,,151557.14745239436,,,,,,,,,,,,,,,,,,,,
1311844070,,,,,,,,,,,,,,,,,,731063.0919853852,1796126.6839016494,145584.27136885392,43417.4321553551,470.3369829826628,,,,,,,,,,,,,,,,,,,,,77260.87811033627,,,16934.96796097639,,,,151560.26867966994,,,,,,,,,,,,,,,,,,,,
1314023213,,,,,,,,,,,,,,,,,,757786.6724054501,1874598.0259773699,146648.6660227751,43463.98632987447,474.4705544717296,,,,,,,,,,,,,,,,,,,,,77265.0324260816,,,17011.88365736017,,,,151564.23421398283,,,,,,,,,,,,,,,,,,,,
1316202356,,,,,,,,,,,,,,,,,,806152.5208702281,1939555.9743863181,147387.19260342605,43535.60535843294,478.7281523137572,,,,,,,,,,,,,,,,,,,,,77268.91139791407,,,17123.643190745643,,,,151586.62159470934,,,,,,,,,,,,,,,,,,,,
1318381499,1732.5425492684435,,,,,,,,,,,,,,,,,863316.8020753559,1950193.0848179688,159107.17651148772,43721.76305422815,480.6895675159095,,,,,,,,,,,,,,,,,,,,,77271.74901630997,,,17882.34073655663,,,16471.484883979785,151608.21638021606,,,,,,,,,,,,,,,,,,,,
1320560642,3331.017633306984,,,,,,,,,,,,,,,,,917813.366267328,2022844.166442728,183897.19442406762,43882.17610531803,473.7709553183414,,,,,,,,,,,,,,,,,,,,,84640.07899353915,,,19735.097226789476,,,27298.64253104622,158309.59436881152,,,,,,,,,,,,,,,,,,,,
1322739785,5020.595914895484,,,,,,,,,,,,,,,,,948892.4136609953,2191223.6905463287,200782.7999536264,43854.31571018988,407.3469438183414,,,,,,,,,,,,6273.8005314040065,,,,,,,,,107729.51109336439,,,21540.392124824117,,,43626.18297106191,179447.97211952228,,,,,,,,,,,,,,,,,,,,
1324918928,6093.8055834944735,,,,,,,,,,,,,,,,,983064.6385162927,2304733.6902422737,210080.40336684923,44040.301423628596,347.843536,,,,,,,,,,,,15269.497881877442,,,,,,,,,123971.55378739425,,,22323.663817635323,,,63070.79343188573,193887.94257590908,,,,,,,,,,,,,,,,,,,,
1327098071,6644.729341315202,,,,,,,,,,,,,,,,,1055837.1775237971,2318945.477768939,215083.9745528025,44296.131523765886,347.8592458407943,,,,,,,,,,,,25112.625620069433,,,,,,,,,124489.85507180533,,,23010.74318012993,,,76644.38979337116,193889.33966326166,,,,,,,,,,,,,,,,,,,,
1329277214,6391.19183590339,,,,,,,,,,,,,,,,,1104536.6472035672,2318924.590306958,207770.6172998967,41615.41721878532,337.8115249614225,,,,,,,,,,,,30161.873985418322,,,,,,,,,124463.23662659284,,,23896.475248356997,,,77927.61109205117,193866.8301123471,,,,,,,,,,,,,,,,,,,,
1331456357,6014.8887132318405,,,,,,,,9733.640648467259,,,,,,,,,1087258.5015645153,2318882.6428118367,193316.573676323,38627.17717495968,325.90116212062816,,,,,,,,,,,,31351.431476571044,,,,,,,,,124430.06008294364,,,23544.712176067533,,,75547.49004227048,193822.09395889228,,,,,,,,,,,,,,,,,,,,
